epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,389.815,0.37629,0.27078,0.82628,0.9836,0.97415,0.99102,0.93842,0.40695,0.29034,0.9294,0.000539275,0.000539275,0.000539275
43,398.33,0.3934,0.26948,0.82797,0.98103,0.97587,0.99057,0.9451,0.40473,0.2974,0.93219,0.000511769,0.000511769,0.000511769
44,407.718,0.37277,0.25802,0.82948,0.98875,0.96825,0.99177,0.94479,0.40068,0.28881,0.94162,0.000484263,0.000484263,0.000484263
45,416.201,0.36235,0.25013,0.81926,0.98709,0.97095,0.99106,0.94608,0.38901,0.30189,0.93549,0.000456758,0.000456758,0.000456758
46,425.248,0.38778,0.26031,0.82595,0.98619,0.97708,0.99193,0.94908,0.38156,0.27594,0.93401,0.000429253,0.000429253,0.000429253
47,434.26,0.37561,0.2617,0.82128,0.96336,0.96186,0.9853,0.94332,0.38476,0.3783,0.93219,0.000401747,0.000401747,0.000401747
48,443.121,0.36095,0.24903,0.82207,0.98346,0.96412,0.99033,0.94949,0.38792,0.30724,0.93963,0.000374242,0.000374242,0.000374242
49,454.853,0.36534,0.25239,0.82572,0.98347,0.97042,0.99176,0.95034,0.3816,0.29256,0.92791,0.000346736,0.000346736,0.000346736
50,464.716,0.36999,0.2527,0.8233,0.9814,0.97453,0.99227,0.94835,0.38745,0.27479,0.93264,0.000319231,0.000319231,0.000319231
51,474.246,0.3338,0.23748,0.80455,0.97855,0.97036,0.99042,0.94291,0.39935,0.28719,0.94366,0.000291725,0.000291725,0.000291725
52,482.608,0.33811,0.24053,0.81007,0.98764,0.9624,0.99151,0.94553,0.40162,0.2938,0.95033,0.00026422,0.00026422,0.00026422
53,490.968,0.32886,0.22661,0.81278,0.98804,0.96436,0.99085,0.94551,0.39062,0.28012,0.94521,0.000236714,0.000236714,0.000236714
54,499.175,0.32396,0.22975,0.80759,0.97046,0.96418,0.98964,0.94679,0.39194,0.3327,0.94158,0.000209209,0.000209209,0.000209209
55,507.364,0.31753,0.21866,0.80496,0.98347,0.9705,0.99305,0.95024,0.37184,0.26539,0.93579,0.000181703,0.000181703,0.000181703
56,516.183,0.30305,0.20955,0.80652,0.99193,0.97024,0.99327,0.94973,0.38712,0.25509,0.94719,0.000154198,0.000154198,0.000154198
57,524.412,0.31125,0.2086,0.80553,0.9852,0.97643,0.99279,0.95225,0.37383,0.25567,0.93692,0.000126692,0.000126692,0.000126692
58,533.165,0.31697,0.21187,0.81161,0.98454,0.97167,0.9928,0.95071,0.37408,0.26076,0.9303,9.91865e-05,9.91865e-05,9.91865e-05
59,541.89,0.30319,0.19974,0.80561,0.98934,0.96936,0.99283,0.95248,0.36301,0.25198,0.93036,7.1681e-05,7.1681e-05,7.1681e-05
60,550.879,0.30139,0.19772,0.79831,0.98876,0.97031,0.9928,0.95427,0.35717,0.24379,0.93082,4.41755e-05,4.41755e-05,4.41755e-05
