unique_id,person_id,entry_timestamp,exit_timestamp,duration,created_at
9c21b24d-28ab-4bfb-bc7d-428a6451c2c2,2,2025-07-30 16:25:14.451373,,,2025-07-30 10:55:14
65cc96bc-1060-4964-a0a8-25f4e7e6e5b7,1,2025-07-30 16:25:14.448317,,,2025-07-30 10:55:14
3e5b8a51-e1ae-43be-bb3b-f7fde667f238,1,2025-07-30 16:25:11.438097,2025-07-30 16:25:13.442296,2.0039722323417664,2025-07-30 10:55:11
